username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-15 01:55;0;0;"News • Re: China Coronavirus (Covid-19): Spitfire wrote: ↑Fri Feb 14, 2020 8:11 pmThe problem with a country like China is that there is nothing but opaque action everywhere. Anyone who thinks we are all being told the truth about this cronovirus is… http://dlvr.it/RQ3xYs";;;;"1228467844196601856";https://twitter.com/2huahin/status/1228467844196601856
;2020-02-15 01:43;0;0;"Mr. Azar, the virus’s official name is SARS-CoV-2, or you can call it novel coronavirus. Calling it “China cronovirus” in your interviews with NPR and CNBC is incorrect, misleading, and disrepectful, especially as a high-level US official. Thank you.";;;;"1228464930141155328";https://twitter.com/shinlazhong/status/1228464930141155328
;2020-02-14 23:05;0;0;"Japan was turned into like Wuhan because Japanese government did not regulate Chinese traveler. Many people were infected but WHO never help us. # cronovirus # 武汉肺炎 # flu # CoronaOutbreak # china";;;# # # # #;"1228425047976472576";https://twitter.com/maple29904621/status/1228425047976472576
;2020-02-14 22:44;0;2;"Fuckkkkkk uuuuu era cronovirus nie avundsjuka baraför Jage säääxig fkn jealous ass niggas";;;;"1228419667372498949";https://twitter.com/lidlslyna/status/1228419667372498949
;2020-02-14 21:35;0;0;"@ CBSNews is anyone tracking the number of people who have recovered from the Cronovirus? And how do you make sure they no longer have it?";;@;;"1228402422080557057";https://twitter.com/cherisilverfox/status/1228402422080557057
;2020-02-14 20:59;0;0;"RED CROSS CRONOVIRUS … money maker An American in a Locked-Down Chinese Town: 'Everyone Here Is So Bored' https://news.yahoo.com/american-locked-down-chinese-town-130117752.html?soc_src=hl-viewer&soc_trk=tw … via @ Yahoo";;@;;"1228393455736557575";https://twitter.com/LavenderLives/status/1228393455736557575
;2020-02-14 20:38;0;1;"I’m so dead Me: why are these packages wet? Mum: I sprayed them just in case they came from China (Cronovirus shit)";;;;"1228387947558375424";https://twitter.com/Pitobsessive/status/1228387947558375424
;2020-02-14 20:37;0;0;"im sick and tired of all this end of the world news trash first doomsday clock cronovirus now this junk";;;;"1228387799327526912";https://twitter.com/p5sonicfan02/status/1228387799327526912
;2020-02-14 17:29;0;1;"Vocês que estão indo amanhã pra pegar todo mundo, tomem cuidado ( cronovirus está solto kkkkkkkk)";;;;"1228340453596069891";https://twitter.com/_rrcorreia/status/1228340453596069891
;2020-02-14 15:43;0;0;"@ ShelaghFogarty about the cronovirus plane what about all the passengers breathing the same recycled air, that will spread germs?";;@;;"1228313879656181760";https://twitter.com/Nerfatari/status/1228313879656181760
;2020-02-14 15:40;0;0;"Shame on you... You are really PAPPU... what do you mean by benifit??? You are requested to keep you mouth shut and move to China. Pappu you are CRONO VIRUS for India";;;;"1228313000676708352";https://twitter.com/SANJAY_1857/status/1228313000676708352
;2020-02-14 14:56;0;0;"Tarek fateh'tu khud sub sa bra crono virus ha.";;;;"1228302056135577600";https://twitter.com/ShabeirC/status/1228302056135577600
